,noun,count
1502,가격,31
3091,요망,31
3755,장난,31
4778,영등포역,31
667,승인,31
3947,평균,31
1814,동대문구,31
1865,영등포구,31
918,목적지,31
1013,관계,31
3211,거지,31
736,스,31
3758,공유,30
6208,월말,30
985,록,30
1003,롭,30
712,일전,30
1612,오히려,30
585,양천구,30
1591,게다가,30
5103,한전,30
2764,집중,30
2469,데이,30
2120,지정,30
2001,신건,30
3183,산,30
4460,청소년,30
6651,디폴트,30
1992,점점,30
773,호,30
999,서로,30
1470,오피스텔,30
1916,일인,29
4007,인접,29
151,이요,29
1478,취,29
1869,가량,29
1721,턱,29
335,머리,29
1057,여지,29
2179,여중,29
2180,상담사,29
4820,항목,29
1632,하늘,29
1793,미사,29
4313,구합,29
995,압,29
1542,여러분,29
2571,골,29
2020,초교,29
2226,티,29
1607,어차피,29
1571,십,29
2213,캐슬,29
3323,선정릉역,29
2281,직장,29
1531,연속,29
1656,강력,29
2526,누군가,29
1548,다양,29
3808,보아,29
880,도상,29
1108,복잡,29
4176,여건,29
144,저렴,29
2906,큐알,29
2914,스트레스,29
4335,응답,29
729,부서,29
2104,시청,29
1574,린다,28
2713,애초,28
5246,방이,28
3548,장애인,28
941,빈번,28
1822,방지,28
3810,양재역,28
877,프로그램,28
2697,최대한,28
580,역삼역,28
4707,당일,28
1028,사하,28
2040,무척,28
1664,잠깐,28
1621,즉,28
1039,결하,28
3631,보수,28
354,일자,28
199,계정,28
698,아이,28
1180,장하,28
3800,여성,28
2123,행복,28
1775,대처,28
3194,이상하,28
3350,전화번호,28
839,대신,28
1649,갈수,28
540,한신,28
1595,안쪽,28
1673,공덕역,28
3002,자동차,28
2821,충족,28
1168,임시폐쇄,28
609,시티,28
1781,자건,28
1432,스테이션,28
665,한가지,28
2875,공중전화,28
606,이마트,28
2168,청구,28
1209,제시,28
2701,평일,28
2778,한적,28
811,발전,27
19,알람,27
2523,모양,27
3190,혹,27
3733,한국,27
2699,몇개,27
3784,문정동,27
926,이구,27
3420,씨름,27
3068,충전,27
782,성의,27
882,표기,27
2584,광화문,27
1353,북,27
527,의자,27
728,담당,27
1118,둘,27
6576,표지판,27
4215,보험,27
2051,이대,27
3836,비회,27
233,솔직,27
418,자물쇠,27
1698,도시,27
119,절대,27
397,완공,27
2533,문정,27
74,그림,27
1668,이수역,27
6085,마곡나루역,27
2838,빨,27
352,우려,27
1381,은지,27
4257,퇴근길,26
2941,추,26
2250,전환,26
4341,인프라,26
936,대방역,26
64,동대문,26
2199,진입,26
6885,홍,26
3348,연동,26
1955,울,26
818,두시간,26
503,기사,26
2048,신도림역,26
1254,은평,26
1911,무료,26
808,경하,26
2617,삼일,26
1203,배차,26
2878,파출소,26
320,오기,26
1428,올림픽,26
2743,아직까지,26
1123,은평구,26
216,자전,26
960,포인트,26
384,기하,26
1922,상도역,26
2600,마트,25
3492,차선,25
480,강제,25
2528,이동해,25
545,분산,25
3915,상암동,25
4080,간혹,25
1592,구조,25
1543,노고,25
3926,구분,25
3436,김포공항,25
5654,보라매,25
1799,협의,25
29,안드로이드,25
2274,해소,25
3530,파손,25
3934,종로구,25
4116,답글,25
5013,질의,25
741,진심,25
157,세번,25
4848,실정,25
1002,자유,25
575,말로,25
1054,방문,25
588,목동역,25
5332,전철,25
2258,똑바로,25
2944,공터,25
2963,가도,25
7340,경의선,25
1029,준비,25
2336,대만,25
2153,시내,25
1348,신지,25
285,레버,25
2742,당시,25
796,체,25
313,입하,25
1462,주거,24
2876,순,24
2859,뭘,24
3833,칼로리,24
3414,안암,24
1412,동사무소,24
1757,빈,24
6634,향후,24
1106,다감,24
4755,교통비,24
3013,글쓰기,24
142,잔,24
1133,설마,24
5150,젠,24
1189,분간,24
1631,확장,24
2780,빈도,24
4931,벨,24
690,차례,24
5141,개판,24
2661,바이크,24
4391,시대,24
3206,태그,24
4929,유효,24
587,최대,24
3642,도아,24
2050,우측,24
1996,통한,24
2919,동,24
5102,로써,24
5006,세곡,24
3868,보문역,24
1374,목,24
974,석촌호수,24
1661,여자,24
1343,오니,24
1350,람,24
950,꽉,24
5286,합정역,24
245,정신,24
4303,곧,24
1522,저장,24
2516,움,24
2209,율,23
2703,보조,23
2775,수시,23
3424,무,23
4540,출퇴근시간,23
15,네트워크,23
5084,각각,23
3399,다소,23
85,자신,23
5417,멉니,23
2449,크기,23
1777,니요,23
3804,하단,23
6420,개인정보,23
3745,관광객,23
2734,양재,23
1041,사례,23
2490,지갑,23
409,로그아웃,23
2981,친절,23
2982,교육,23
730,전달,23
2450,마저,23
2933,안녕하십니까,23
3973,다지,23
2304,서대문,23
1845,백화점,23
2305,다행,23
4566,주가,23
287,기고,23
3806,상의,23
4972,금천구,23
1382,고치,23
4456,규정,23
429,디,23
4258,사회,23
4094,결정,23
2100,지대,23
27,팝업창,23
2113,정기,23
2532,내야,23
2508,삼성역,23
5099,년도,23
1937,방학,23
810,망,23
3368,여러가지,23
3305,텅텅,23
2130,그동안,23
2404,포스코,23
2669,회전,23
3198,내리막,23
3154,마포,23
2658,는가,23
1331,교차,22
2270,신림,22
4301,라이딩,22
1961,기만,22
3782,장지역,22
1406,길동,22
3395,리스트,22
3469,즉시,22
1906,억울,22
3467,월드컵,22
505,소식,22
470,자료,22
499,코,22
1559,문의사항,22
3402,포스트,22
1538,정해,22
2779,개도,22
2030,충,22
2081,건대,22
481,얼른,22
3830,글씨,22
4201,옵션,22
1312,도봉,22
254,적도,22
2787,모자,22
3177,강서,22
2715,대비,22
1215,제기,22
2119,배려,22
2171,주의,22
1846,영상,22
3000,몸,22
1467,적합,22
4689,사무실,22
3801,사이즈,22
2115,탈때,22
3213,보행,22
5382,노선,22
3994,대적,22
2594,방배역,22
3625,소모,22
4250,대답,22
2108,평지,22
3081,칸,22
1897,순환,22
2739,주요,22
2307,가족,21
2306,이사,21
3244,다다,21
4624,설계,21
2183,월부,21
1855,양,21
2553,동의,21
3196,심해,21
1291,구성,21
1794,강변,21
5301,절하,21
967,하나은행,21
1976,액정,21
4812,실망,21
3605,대학생,21
5298,기타,21
6426,석촌동,21
2902,공급,21
2156,적당,21
4109,꼴,21
5867,측정,21
3872,행사,21
124,간이,21
2621,인터페이스,21
2370,전후,21
2425,서구청,21
5114,구들,21
1497,상세,21
1243,시부,21
2979,무시,21
2850,주유소,21
333,귀가,21
2744,일시,21
4166,모델,21
2507,벌금,21
2681,계시,21
383,포,21
3106,본동,21
2353,마치,21
2291,런가,21
4230,강남구청역,21
3401,싯,21
1008,소방,21
3011,복,21
500,상반기,21
5047,공단,21
1090,지라,21
1012,내내,21
2042,발송,21
326,시더,21
1017,여름,21
2731,스캔,21
2502,일요일,21
5129,언주역,20
2773,내지,20
4519,사당역,20
1642,보호,20
2684,도중,20
1682,공공기관,20
2294,시구,20
4092,반대편,20
1984,와이파이,20
1316,락,20
962,이외,20
4322,요지,20
2520,장금,20
3127,반경,20
2720,번은,20
3119,성동구,20
3111,도저히,20
3739,감안,20
2728,모습,20
2089,상계,20
219,변속,20
2097,일수,20
3149,심각,20
6308,동작,20
7545,최종,20
2135,길건,20
2137,반면,20
3902,개설,20
2159,반포,20
3883,즈음,20
1046,몇몇,20
1119,하든,20
2203,이아,20
5391,링크,20
4222,일도,20
107,발산역,20
2994,탑승,20
3627,신림역,20
568,차원,20
3461,동시,20
6425,삼전동,20
1890,이상은,20
2792,탈퇴,20
2413,신동아,20
827,최,20
4628,필수,20
3431,메일,20
2428,일련번호,20
7805,기반,20
1840,찍,20
1837,복지,20
146,해하,20
1549,순위,20
2432,래야,20
2829,서울시청,20
2783,강북구,20
3789,이정,20
2230,탄천,20
1415,주일,20
3495,님,20
4377,었는데,20
958,라이트,20
3791,푸르지오,20
4006,특별,20
2363,고가,20
3917,시험,20
4183,가방,20
1397,고해,20
4347,보급,20
2884,몰리,19
1689,체결,19
2387,여기저기,19
2269,주택가,19
1700,부위,19
1702,워,19
5191,기술,19
2952,동영상,19
2338,나니,19
1786,눌,19
2225,오시,19
1951,측면,19
3275,잡고,19
1802,활동,19
3910,혼잡,19
1881,고이,19
1885,중단,19
4012,학동역,19
1760,가나,19
4523,가득,19
1749,추후,19
4684,역삼,19
4685,동쪽,19
2527,가다가,19
4814,선릉역,19
356,무한,19
2518,파트,19
424,독산,19
3105,중계,19
2057,읍니,19
2552,가산,19
4747,추진,19
3086,불하,19
3075,노인,19
2143,근무,19
2151,초록색,19
2063,파일,19
5210,양천구청역,19
1237,정릉,19
1191,선하,19
1360,얼,19
566,불법,19
582,버,19
3343,형,19
2616,제입,19
755,신분,19
1170,회하,19
1560,은행,19
4441,부합,19
1626,편입,19
4453,성신여대,19
2735,종합,19
3612,깝,19
1617,과도,19
3498,착용,19
1101,간절,19
2756,지난주,19
813,라며,19
3041,연희,18
2133,문화센터,18
3797,신장,18
1758,대요,18
6209,팻말,18
1874,대안,18
4790,중순,18
1521,손해,18
3055,상단,18
1383,덜,18
2550,계단,18
2595,층,18
4605,호텔,18
1136,집앞,18
1499,고리,18
2186,제로,18
6548,쌍문역,18
5003,의심,18
5923,간판,18
2626,탓,18
4677,어플리케이션,18
1204,양지,18
1960,국민은행,18
5713,공고,18
2461,강변역,18
3273,부착,18
2782,서울특별시,18
1321,유저,18
3391,산업,18
3008,승하,18
2017,수신,18
1396,았,18
2026,학원,18
6461,역사,18
3281,유도,18
2056,번지,18
3575,대인,18
2615,이도,18
4589,신호등,18
3690,성수역,18
1688,나들목,18
732,송파역,18
4902,광진구,18
2298,군자,18
5310,성북천,18
2486,경로,18
766,정리,18
1023,소음,18
1638,서울대,18
2915,가구,18
2957,었습니,18
855,고합,18
5083,노을,18
2361,다라,18
5260,값,18
2328,사과,18
2833,고대,18
3697,대입,18
1736,량,18
2392,용해,18
5250,예술,17
5610,봄,17
3003,수칙,17
1925,서대문구,17
2388,고다,17
1936,신촌,17
6115,경복궁역,17
1938,방학동,17
1375,오거리,17
1365,판이,17
4375,진출,17
4174,내년,17
3174,장승배기역,17
887,콜,17
1405,절반,17
